Dirham;Дирхам;AED;784;2;;;ARE;784;;;;
Afghani;Афгани;AFN;971;2;;U+060B;AFG;4;;;;
Lek;Лек;ALL;8;2;;;ALB;8;;;;
Armenian Dram;Армянский драм;AMD;51;2;;U+058F;ARM;51;;;;
Netherlands Antillean Guilder;Нидерландский антильский гульден;ANG;532;2;;U+0192;ANT;530;;;;
Kwanza;Кванза;AOA;973;2;;;AGO;24;;;;
Argentine Peso;Аргентинское песо;ARS;32;2;;U+0024;ARG;32;;;;
Australian Dollar;Австралийский доллар;AUD;36;2;;U+0024;AUS;36;;;;
Aruban Florin;Арубанский флорин;AWG;533;2;;U+0192;ABW;533;;;;
Azerbaijanian Manat;Азербайджанский манат;AZN;944;2;;;AZE;31;;;;
Convertible Mark;Конвертируемая марка;BAM;977;2;;;BIH;70;;;;
Barbados Dollar;Барбадосский доллар;BBD;52;2;;U+0024;BRB;52;;;;
Taka;Така;BDT;50;2;;U+09F3;BGD;50;;;;
Bulgarian Lev;Болгарский лев;BGN;975;2;;;BGR;100;;;;
Bahraini Dinar;Бахрейнский динар;BHD;48;3;;;BHR;48;;;;
Burundi Franc;Бурундийский франк;BIF;108;0;;;BDI;108;;;;
Bermudian Dollar;Бермудский доллар;BMD;60;2;;U+0024;BMU;60;;;;
Brunei Dollar;Брунейский доллар;BND;96;2;;U+0024;BRN;96;;;;
Boliviano;Боливиано;BOB;68;2;;;BOL;68;;;;
Brazilian Real;Бразильский реал;BRL;986;2;;;BRA;76;;;;
Bahamian Dollar;Багамский доллар;BSD;44;2;;U+0024;BHS;44;;;;
Ngultrum;Нгултрум;BTN;64;2;;;BTN;64;;;;
Pula;Пула;BWP;72;2;;;BWA;72;;;;
Belarussian Ruble;Белорусский рубль;BYN;933;2;;;BLR;112;;;;
Belize Dollar;Белизский доллар;BZD;84;2;;U+0024;BLZ;84;;;;
Canadian Dollar;Канадский доллар;CAD;124;2;;U+0024;CAN;124;;;;
Congolese Franc;Конголезский франк;CDF;976;2;;;COD;180;;;;
Swiss Franc;Швейцарский франк;CHF;756;2;;;CHE;756;;;;
Chilean Peso;Чилийское песо;CLP;152;0;;U+0024;CHL;152;;;;
Yuan Renminbi;Юань;CNY;156;2;;U+00A5;CHN;156;;;;
Colombian Peso;Колумбийское песо;COP;170;2;;U+0024;COL;170;;;;
Costa Rican Colon;Коста-риканский колон;CRC;188;2;;U+20A1;CRI;188;;;;
Peso Convertible;Конвертируемое песо;CUC;931;2;;U+0024;CUB;192;;;;
Cuban Peso;Кубинское песо;CUP;192;2;;U+0024;CUB;192;;;;
Cape Verde Escudo;Эскудо Кабо-Верде;CVE;132;2;;U+0024;CPV;132;;;;
Czech Koruna;Чешская крона;CZK;203;2;;;CZE;203;;;;
Djibouti Franc;Франк Джибути;DJF;262;0;;;DJI;262;;;;
Danish Krone;Датская крона;DKK;208;2;;;DNK;208;;;;
Dominican Peso;Доминиканское песо;DOP;214;2;;U+0024;DOM;214;;;;
Algerian Dinar;Алжирский динар;DZD;12;2;;;DZA;12;;;;
Egyptian Pound;Египетский фунт;EGP;818;2;;U+00A3;EGY;818;;;;
Nakfa;Накфа;ERN;232;2;;;ERI;232;;;;
Ethiopian Birr;Эфиопский быр;ETB;230;2;;;ETH;231;;;;
Fiji Dollar;Доллар Фиджи;FJD;242;2;;U+0024;FJI;242;;;;
Falkland Islands Pound;Фунт Фолклендских островов;FKP;238;2;;U+00A3;FLK;238;;;;
Pound Sterling;Фунт стерлингов;GBP;826;2;;U+00A3;GBR;826;;;;
Lari;Лари;GEL;981;2;;;GEO;268;;;;
Ghana Cedi;Ганский седи;GHS;936;2;;U+20B5;GHA;288;;;;
Gibraltar Pound;Гибралтарский фунт;GIP;292;2;;U+00A3;GIB;292;;;;
Dalasi;Даласи;GMD;270;2;;;GMB;270;;;;
Guinea Franc;Гвинейский франк;GNF;324;0;;;GIN;324;;;;
Quetzal;Кетсаль;GTQ;320;2;;;GTM;320;;;;
Guyana Dollar;Гайанский доллар;GYD;328;2;;U+0024;GUY;328;;;;
Hong Kong Dollar;Гонконгский доллар;HKD;344;2;;U+0024;HKG;344;;;;
Lempira;Лемпира;HNL;340;2;;;HND;340;;;;
Kuna;Хорватская куна;HRK;191;2;;;HRV;191;;;;
Gourde;Гурд;HTG;332;2;;;HTI;332;;;;
Forint;Форинт;HUF;348;2;;;HUN;348;;;;
Rupiah;Рупия;IDR;360;2;;U+20A8;IDN;360;;;;
New Israeli Sheqel;Новый израильский шекель;ILS;376;2;;U+20AA;ISR;376;;;;
Indian Rupee;Индийская рупия;INR;356;2;;U+20B9;IND;356;;;;
Iraqi Dinar;Иракский динар;IQD;368;3;;;IRQ;368;;;;
Iranian Rial;Иранский риал;IRR;364;2;;U+FDFC;IRN;364;;;;
Iceland Krona;Исландская крона;ISK;352;0;;;ISL;352;;;;
Jamaican Dollar;Ямайский доллар;JMD;388;2;;U+0024;JAM;388;;;;
Jordanian Dinar;Иорданский динар;JOD;400;3;;;JOR;400;;;;
Yen;Иена;JPY;392;0;;U+00A5;JPN;392;;;;
Kenyan Shilling;Кенийский шиллинг;KES;404;2;;;KEN;404;;;;
Som;Сом;KGS;417;2;;;KGZ;417;;;;
Riel;Риель;KHR;116;2;;U+17DB;KHM;116;;;;
Comoro Franc;Франк Комор;KMF;174;0;;;COM;174;;;;
North Korean Won;Северокорейская вона;KPW;408;2;;U+20A9;PRK;408;;;;
Won;Вона;KRW;410;0;;U+20A9;KOR;410;;;;
Kuwaiti Dinar;Кувейтский динар;KWD;414;3;;;KWT;414;;;;
Cayman Islands Dollar;Доллар Островов Кайман;KYD;136;2;;U+0024;CYM;136;;;;
Tenge;Тенге;KZT;398;2;;U+20B8;KAZ;398;;;;
Kip;Кип;LAK;418;2;;U+20AD;LAO;418;;;;
Lebanese Pound;Ливанский фунт;LBP;422;2;;U+00A3;LBN;422;;;;
Sri Lanka Rupee;Шри-ланкийская рупия;LKR;144;2;;U+20A8;LKA;144;;;;
Liberian Dollar;Либерийский доллар;LRD;430;2;;U+0024;LBR;430;;;;
Loti;Лоти;LSL;426;2;;;LSO;426;;;;
Lithuanian Litas;Литовский лит;LTL;440;2;;;LTU;440;;;;
Libyan Dinar;Ливийский динар;LYD;434;3;;;LBY;434;;;;
Moroccan Dirham;Марокканский дирхам;MAD;504;2;;;MAR;504;;;;
Moldovan Leu;Молдавский лей;MDL;498;2;;;MDA;498;;;;
Malagasy Ariary;Малагасийский ариари;MGA;969;2;;;MDG;450;;;;
Denar;Денар;MKD;807;2;;;MKD;807;;;;
Kyat;Кьят;MMK;104;2;;;MMR;104;;;;
Tugrik;Тугрик;MNT;496;2;;U+20AE;MNG;496;;;;
Pataca;Патака;MOP;446;2;;;MAC;446;;;;
Ouguiya;Угия;MRU;929;2;;;MRT;478;;;;
Mauritius Rupee;Маврикийская рупия;MUR;480;2;;U+20A8;MUS;480;;;;
Rufiyaa;Руфия;MVR;462;2;;;MDV;462;;;;
Kwacha;Квача;MWK;454;2;;;MWI;454;;;;
Mexican Peso;Мексиканское песо;MXN;484;2;;U+0024;MEX;484;;;;
Malaysian Ringgit;Малайзийский ринггит;MYR;458;2;;;MYS;458;;;;
Mozambique Metical;Мозамбикский метикал;MZN;943;2;;;MOZ;508;;;;
Namibia Dollar;Доллар Намибии;NAD;516;2;;U+0024;NAM;516;;;;
Naira;Найра;NGN;566;2;;U+20A4;NGA;566;;;;
Cordoba Oro;Золотая кордоба;NIO;558;2;;;NIC;558;;;;
Norwegian Krone;Норвежская крона;NOK;578;2;;;NOR;578;;;;
Nepalese Rupee;Непальская рупия;NPR;524;2;;U+20A8;NPL;524;;;;
New Zealand Dollar;Новозеландский доллар;NZD;554;2;;U+0024;NZL;554;;;;
Rial Omani;Оманский риал;OMR;512;3;;U+FDFC;OMN;512;;;;
Balboa;Бальбоа;PAB;590;2;;;PAN;591;;;;
Nuevo Sol;Новый соль;PEN;604;2;;;PER;604;;;;
Kina;Кина;PGK;598;2;;;PNG;598;;;;
Philippine Peso;Филиппинское песо;PHP;608;2;;U+20B1;PHL;608;;;;
Pakistan Rupee;Пакистанская рупия;PKR;586;2;;U+20A8;PAK;586;;;;
Zloty;Злотый;PLN;985;2;;;POL;616;;;;
Guarani;Гуарани;PYG;600;0;;U+20B2;PRY;600;;;;
Qatari Rial;Катарский риал;QAR;634;2;;U+FDFC;QAT;634;;;;
Romanian Leu;Новый румынский лей;RON;946;2;;;ROU;642;;;;
Serbian Dinar;Сербский динар;RSD;941;2;;;SRB;688;;;;
Russian Ruble;Российский рубль;RUB;643;2;;U+20BD;RUS;643;;;;
Rwanda Franc;Франк Руанды;RWF;646;0;;;RWA;646;;;;
Saudi Riyal;Саудовский риял;SAR;682;2;;;SAU;682;;;;
Solomon Islands Dollar;Доллар Соломоновых Островов;SBD;90;2;;U+0024;SLB;90;;;;
Seychelles Rupee;Сейшельская рупия;SCR;690;2;;U+20A8;SYC;690;;;;
Sudanese Pound;Суданский фунт;SDG;938;2;;U+00A3;SDN;729;;;;
Swedish Krona;Шведская крона;SEK;752;2;;;SWE;752;;;;
Singapore Dollar;Сингапурский доллар;SGD;702;2;;U+0024;SGP;702;;;;
Saint Helena Pound;Фунт Святой Елены;SHP;654;2;;U+00A3;SHN;654;;;;
Leone;Леоне;SLL;694;2;;;SLE;694;;;;
Somali Shilling;Сомалийский шиллинг;SOS;706;2;;;SOM;706;;;;
Surinam Dollar;Суринамский доллар;SRD;968;2;;U+0024;SUR;740;;;;
South Sudanese Pound;Южносуданский фунт;SSP;728;2;;U+00A3;SSD;728;;;;
Dobra;Добра;STN;930;2;;;STP;678;;;;
El Salvador Colon;Сальвадорский колон;SVC;222;2;;U+20A1;SLV;222;;;;
Syrian Pound;Сирийский фунт;SYP;760;2;;U+00A3;SYR;760;;;;
Lilangeni;Лилангени;SZL;748;2;;;SWZ;748;;;;
Baht;Бат;THB;764;2;;U+0E3F;THA;764;;;;
Somoni;Сомони;TJS;972;2;;;TJK;762;;;;
Turkmenistan New Manat;Новый туркменский манат;TMT;934;2;;;TKM;795;;;;
Tunisian Dinar;Тунисский динар;TND;788;3;;;TUN;788;;;;
Pa’anga;Паанга;TOP;776;2;;;TON;776;;;;
Turkish Lira;Турецкая лира;TRY;949;2;;U+20BA;TUR;792;;;;
Trinidad and Tobago Dollar;Доллар Тринидада и Тобаго;TTD;780;2;;U+0024;TTO;780;;;;
New Taiwan Dollar;Новый тайваньский доллар;TWD;901;2;;U+0024;TWN;158;;;;
Tanzanian Shilling;Танзанийский шиллинг;TZS;834;2;;;TZA;834;;;;
Hryvnia;Гривна;UAH;980;2;;U+20B4;UKR;804;;;;
Uganda Shilling;Угандийский шиллинг;UGX;800;2;;;UGA;800;;;;
US Dollar;Доллар США;USD;840;2;;U+0024;USA;840;;;;
Peso Uruguayo;Уругвайское песо;UYU;858;2;;U+0024;URY;858;;;;
Uzbekistan Sum;Узбекский сум;UZS;860;2;;;UZB;860;;;;
Bolivar;Боливар фуэрте;VEF;937;2;;;VEN;862;;;;
Dong;Донг;VND;704;0;;U+20AB;VNM;704;;;;
Vatu;Вату;VUV;548;0;;;VUT;548;;;;
Tala;Тала;WST;882;2;;;WSM;882;;;;
Yemeni Rial;Йеменский риал;YER;886;2;;U+FDFC;YEM;887;;;;
Rand;Рэнд;ZAR;710;2;;;ZAF;710;;;;
Zambian Kwacha;Замбийская квача;ZMW;967;2;;;ZMB;894;;;;
Zimbabwe Dollar;Доллар Зимбабве;ZWL;932;2;;U+0024;ZWE;716;;;;
Euro;Евро;EUR;978;2;;U+20AC;;;;;;
CFA Franc BEAC;Франк КФА BEAC;XAF;950;0;;;;;;;;
East Caribbean Dollar;Восточно-карибский доллар;XCD;951;2;;U+0024;;;;;;
CFA Franc BCEAO;Франк КФА BCEAO;XOF;952;0;;;;;;;;
CFP Franc;Франк КФП;XPF;953;0;;;;;;;;